dorsal abaxial
travelled traveled
hick bumpkinly
rustic bumpkinly
unsophisticated bumpkinly
parochial insular
one-horse jerkwater
pokey jerkwater
poky jerkwater
evacuant cathartic
purgative cathartic
regular unconstipated
diarrhoeal diarrheal
diarrhetic diarrheal
diarrhoetic diarrheal
diarrheic diarrheal
diarrhoeic diarrheal
loose lax
uncaring thoughtless
unthinking thoughtless
gallant chivalrous
knightly chivalrous
brusk brusque
curt brusque
short brusque
unchivalrous caddish
ungallant caddish
well-mannered mannerly
gracious courteous
nice courteous
brattish bratty
bad-mannered ill-mannered
rude ill-mannered
unmannered ill-mannered
unmannerly ill-mannered
ungracious discourteous
polite civil
rude uncivil
originative creative
notional fanciful
inventive imaginative
unimaginative sterile
uninspired sterile
uninventive sterile
believable credible
unbelievable incredible
dumbfounding astounding
dumfounding astounding
marvelous improbable
marvellous improbable
tall improbable
undreamed_of undreamed
undreamt undreamed
undreamt_of undreamed
unimagined undreamed
skeptical disbelieving
sceptical disbelieving
unbelieving disbelieving
faultfinding captious
overcritical hypercritical
vituperative scathing
evaluative appraising
judicial discriminative
noncritical uncritical
grave dangerous
grievous dangerous
serious dangerous
severe dangerous
life-threatening dangerous
dire desperate
noncrucial noncritical
cross-town crosstown
intersectant decussate
intersecting decussate
comose comate
crownless uncrowned
important crucial
decisive critical
life-or-death life-and-death
polar pivotal
crystallised crystallized
uncrystallised uncrystallized
three-dimensional cubic
blocky blockish
boxy boxlike
box-shaped boxlike
cube-shaped cubelike
cubical cubelike
cubiform cubelike
cuboid cubelike
cuboidal cubelike
one-dimensional linear
rectilineal rectilinear
two-dimensional planar
platelike placoid
flattened planate
one-dimensional unidimensional
2-dimensional two-dimensional
flat two-dimensional
3-dimensional three-dimensional
third-dimensional three-dimensional
three-d three-dimensional
4-dimensional four-dimensional
shredded chopped
sliced chopped
perforated pierced
perforate pierced
punctured pierced
cut_off severed
hand-hewn hewn
rough uncut
speculative inquisitive
questioning inquisitive
wondering inquisitive
nosey nosy
prying nosy
snoopy nosy
uninquisitive uninquiring
underway afoot
present-day contemporary
on-going ongoing
online on-line
latest up-to-the-minute
obsolete disused
out-of-date outdated
superannuated outdated
curst cursed
accurst accursed
maledict accursed
blame blasted
blamed blasted
blessed blasted
damn blasted
damned blasted
darned blasted
deuced blasted
goddam blasted
goddamn blasted
goddamned blasted
infernal blasted
stuck_with cursed_with
goddamn damn
execrable damnable
blest blessed
golden fortunate
uncurtained curtainless
custom custom-made
bespoken bespoke
made-to-order bespoke
tailored bespoke
tailor-made bespoke
made-to-order custom-built
off-the-shelf off-the-rack
off-the-peg off-the-rack
ready-to-wear off-the-rack
hand-crafted handmade
handwoven hand-loomed
handstitched handsewn
oversewn overhand
store-bought boughten
cyclical cyclic
alternating alternate
rotary circular
orbitual circular
noncyclical noncyclic
closed-ring closed-chain
isocyclic homocyclic
open-chain acyclic
verticillated verticillate
whorled verticillate
one-year annual
two-year biennial
beat-up battered
beaten-up battered
broken-down bedraggled
derelict bedraggled
dilapidated bedraggled
ramshackle bedraggled
tatterdemalion bedraggled
tumble-down bedraggled
crumpled bent
dented bent
busted broken
weakened hurt
dateable datable
undated dateless
deaf-mute deaf-and-dumb
hearing-impaired hard-of-hearing
stone-deaf profoundly_deaf
deaf_as_a_post profoundly_deaf
unhearing profoundly_deaf
quick-eared sharp-eared
earthy crude
gross crude
vulgar crude
determinant deciding
determinative deciding
determining deciding
fatal fateful
resolute unhesitating
undecided on_the_fence
hesitating hesitant
declaratory declarative
asserting declarative
interrogatory interrogative
proclaimed announced
professed avowed
staid sedate
indelicate indecorous
abyssal abysmal
unfathomable abysmal
unfathomed profound
unplumbed profound
unsounded profound
knee-deep ankle-deep
shelfy reefy
shelvy reefy
shoaly reefy
profound heavy
sound heavy
wakeless heavy
wakeful light
inalienable unforfeitable
victorious triumphant
unconquered unbeaten
unvanquished unbeaten
noncompliant defiant
resistant insubordinate
resistive insubordinate
conformable amenable
vague undefined
undefinable indefinable
clear well-defined
unclear ill-defined
plagiarized plagiaristic
plagiarised plagiaristic
decided distinct
unfixed nebulous
chopfallen chapfallen
crestfallen chapfallen
deflated chapfallen
grim gloomy
blue gloomy
depressed gloomy
dispirited gloomy
down gloomy
downcast gloomy
downhearted gloomy
down_in_the_mouth gloomy
low gloomy
low-spirited gloomy
lonesome lonely
exulting exultant
jubilant exultant
prideful exultant
rejoicing exultant
triumphal exultant
triumphant exultant
exhilarated gladdened
in_high_spirits high
exquisite dainty
gossamer ethereal
tough sturdy
brickle brittle
brickly brittle
friable crumbly
fragile delicate
frail delicate
splinterless shatterproof
splinterproof shatterproof
exacting exigent
hard_to_please hard-to-please
stringent rigorous
tight rigorous
strict stern
exacting stern
crying clamant
exigent clamant
insistent clamant
instant clamant
urgent pressing
shrill strident
pleading beseeching
imploring beseeching
precative precatory
supplicant suppliant
supplicatory suppliant
egalitarian classless
autocratic authoritarian
dictatorial authoritarian
despotic authoritarian
tyrannic authoritarian
tyrannical authoritarian
monarchical monarchal
monarchic monarchal
impulsive capricious
whimsical capricious
discretional discretionary
unarbitrary nonarbitrary
gushing effusive
gushy effusive
epideictical epideictic
reticent restrained
unemotional restrained
refutable questionable
confutable questionable
confutative questionable
indisputable incontestable
undisputable incontestable
irrefutable incontrovertible
positive incontrovertible
denotive denotative
naming appellative
connotative_of connotational
suggestive implicative
dependable reliable
sure certain
time-tested tested
tried tested
tried_and_true tested
undependable unreliable
temperamental erratic
mutualist interdependent
mutually_beneficial interdependent
parasitical parasitic
leechlike parasitic
bloodsucking parasitic
autarkical autarkic
self-directed autonomous
self-reliant autonomous
fissiparous breakaway
separatist breakaway
nonparasitic free-living
nonsymbiotic free-living
case-by-case individual
item-by-item individual
self-sufficing self-sufficient
self-sustaining self-sufficient
main independent
subordinate dependent
partizan partisan
tendencious tendentious
nonpartizan nonpartisan
bipartizan bipartisan
two-party bipartisan
two-way bipartisan
unbiassed unbiased
normative prescriptive
desired coveted
in_demand coveted
sought_after coveted
sexually_attractive delectable
preferred preferable
unwanted undesirable
exterminated annihilated
wiped_out annihilated
spoilt blighted
obliterate blotted_out
obliterated blotted_out
wiped_out broken
impoverished broken
burnt burned
burned-over burned
burned-out burned
burnt-out burned
dismantled demolished
razed demolished
pillaged despoiled
raped despoiled
ravaged despoiled
sacked despoiled
kaput done_for
gone done_for
ruined finished
tattered shattered
war-worn war-torn
maintained kept_up
well-kept kept_up
saved protected
maintained retained
discoverable ascertainable
undeterminable indeterminable
undiscoverable unascertainable
undetermined indeterminate
matured mature
rudimentary vestigial
dextrorsal dextrorse
sinistrorsal sinistrorse
uniform undifferentiated
hard difficult
challenging ambitious
embarrassing awkward
sticky awkward
unenviable awkward
elusive baffling
knotty baffling
problematic baffling
problematical baffling
tough baffling
tricky catchy
ticklish delicate
touchy delicate
tight nasty
rough rocky
tough rugged
effortless casual
soft cushy
easygoing cushy
simple elementary
uncomplicated elementary
unproblematic elementary
formal courtly
stately courtly
grand distinguished
imposing distinguished
magisterial distinguished
humbling demeaning
humiliating demeaning
mortifying demeaning
ridiculous pathetic
silly pathetic
statesmanly statesmanlike
sedulous assiduous
industrious hardworking
tireless hardworking
untiring hardworking
delinquent derelict
neglectful derelict
remiss derelict
slack lax
neglectful inattentive
dilute diluted
thinned cut
weakened cut
washy watery
weak watery
straight neat
full-strength neat
concentrated saturated
diplomatical diplomatic
smooth politic
suave politic
bland politic
kid-glove tactful
conciliative conciliatory
placating appeasing
placative appeasing
placatory appeasing
propitiatory propitiative
unswerving undeviating
askant askance
asquint askance
squint askance
squint-eyed askance
squinty askance
sidelong askance
circuitous devious
roundabout devious
rambling meandering
wandering meandering
winding meandering
candid blunt
forthright blunt
frank blunt
free-spoken blunt
outspoken blunt
plainspoken blunt
point-blank blunt
straight-from-the-shoulder blunt
unvarnished plain
straightforward square
straight square
roundabout circuitous
circumlocutory circumlocutious
periphrastic circumlocutious
ambagious circumlocutious
oblique devious
discursive digressive
excursive digressive
rambling digressive
mealy-mouthed mealymouthed
unmediated direct
percipient clear
clear-sighted clear-eyed
perspicacious clear-eyed
purblind obtuse
blabbermouthed bigmouthed
blabby bigmouthed
talkative bigmouthed
wholesale sweeping
diacritical diacritic
discriminatory discriminative
indiscriminating undiscriminating
usable available
useable available
spendable expendable
liquid fluid
median medial
well-defined chiseled
clean-cut clear
clear-cut clear
sharp crisp
outlined defined
blurred bleary
blurry bleary
foggy bleary
fuzzy bleary
hazy bleary
muzzy bleary
nebulose cloudy
nebulous cloudy
faint dim
shadowy dim
vague dim
wispy dim
focussed focused
unfocussed unfocused
wide-ranging varied
unanimous solid
whole solid
separable dissociable
severable dissociable
indivisible_by undividable
dictatorial authoritarian
overbearing authoritarian
bossy autocratic
dominating autocratic
high-and-mighty autocratic
magisterial autocratic
peremptory autocratic
bullying blustery
high-handed cavalier
roughshod heavy-handed
tyrannical oppressive
tyrannous oppressive
bowing bowed
spiritless meek
groveling cringing
grovelling cringing
wormlike cringing
wormy cringing
henpecked dominated
fawning bootlicking
sycophantic bootlicking
toadyish bootlicking
subservient slavish
submissive slavish
unsubmissive unservile
ascendent ascendant
dominating ascendant
paramount overriding
predominant overriding
predominate overriding
preponderant overriding
preponderating overriding
supreme sovereign
low-level subordinate
assistant adjunct
single-barrelled single-barreled
double-barrelled double-barreled
melodramatic histrionic
stagey stagy
potable drinkable
drunk intoxicated
inebriated intoxicated
bacchanal bacchanalian
bacchic bacchanalian
carousing bacchanalian
orgiastic bacchanalian
blind_drunk besotted
blotto besotted
crocked besotted
cockeyed besotted
fuddled besotted
loaded besotted
pie-eyed besotted
pissed besotted
pixilated besotted
plastered besotted
slopped besotted
sloshed besotted
smashed besotted
soaked besotted
soused besotted
sozzled besotted
squiffy besotted
stiff besotted
tight besotted
wet besotted
tiddly potty
tipsy potty
boozy bibulous
drunken bibulous
sottish bibulous
drugged doped
narcotized doped
narcotised doped
mellow high
stoned hopped-up
stone-sober cold_sober
teetotal dry
unintoxicated uninebriated
dulled blunted
penetrating penetrative
intense acute
keen cutting
knifelike cutting
piercing cutting
stabbing cutting
lancinate cutting
lancinating cutting
bouncy bouncing
peppy bouncing
spirited bouncing
zippy bouncing
effervescent bubbling
frothy bubbling
scintillating bubbling
sparkly bubbling
burbly burbling
effusive burbling
gushing burbling
desiccate arid
desiccated arid
dreary drab
leaden heavy
monotonous humdrum
lacklustre lackluster
lusterless lackluster
lustreless lackluster
dynamical dynamic
ever-changing changing
impulsive driving
energising energizing
kinetic energizing
high-powered high-octane
high-power high-octane
high-voltage high-octane
high-energy high-octane
propellent propellant
propelling propellant
propulsive propellant
self-propelling self-propelled
adynamic undynamic
moribund stagnant
dying anxious
raring impatient
auriculated auriculate
primal aboriginal
primeval aboriginal
primaeval aboriginal
primordial aboriginal
beforehand advance
archaean archean
archaeozoic archeozoic
earliest earlier
untimely premature
premature previous
ripe advanced
primitive archaic
young new
primitive crude
rude crude
embryotic embryonic
inchoate incipient
later late
New modern
worried apprehensive
unstable precarious
eastward eastbound
eastern easterly
eastern easterly
eastmost easternmost
westerly westbound
westward westbound
western westerly
westmost westernmost
Hesperian occidental
mid-Atlantic middle_atlantic
pyknic endomorphic
muscular mesomorphic
comestible edible
eatable edible
non-poisonous nonpoisonous
nontoxic nonpoisonous
parve pareve
uneatable inedible
knowledgeable knowing
learned knowing
lettered knowing
well-educated knowing
well-read knowing
illiterate ignorant
nescient ignorant
unlearned ignorant
unlettered ignorant
untaught unschooled
untutored unschooled
good effective
in_effect effective
in_force effective
in_operation operational
operating operational
effectual effective
efficacious effective
trenchant hard-hitting
telling impressive
uneffective ineffective
ineffectual ineffective
backbreaking arduous
grueling arduous
gruelling arduous
hard arduous
heavy arduous
laborious arduous
operose arduous
punishing arduous
toilsome arduous
tiring exhausting
wearing exhausting
wearying exhausting
labored heavy
laboured heavy
labour-intensive labor-intensive
plodding leaden
straining arduous
strenuous arduous
unstrained unforced
cost-effective cost-efficient
economical economic
wasteful uneconomical
exclamatory emphatic
strong firm
physical forcible
strong-arm forcible
unforceful forceless
wimpy wimpish
live bouncy
lively bouncy
resilient bouncy
springy bouncy
elasticised elasticized
expandible expandable
expansible expandable
expansile expandable
moldable fictile
plastic fictile
whippy flexible
rubberlike rubbery
stretchy stretchable
elected elective
appointed appointive
nominative nominated
non-elective nonelective
nonelected nonelective
nonobligatory nonmandatory
mandatory compulsory
required compulsory
dandyish dandified
foppish dandified
de_luxe deluxe
luxe deluxe
high-toned high-class
recherche exquisite
refined neat
tasteful neat
soignee soigne
graceless gauche
unpolished gauche
suitable desirable
worthy desirable
unsuitable undesirable
unqualified unentitled
affective affectional
emotive affectional
drippy bathetic
hokey bathetic
maudlin bathetic
mawkish bathetic
kitschy bathetic
mushy bathetic
schmaltzy bathetic
schmalzy bathetic
sentimental bathetic
soppy bathetic
soupy bathetic
slushy bathetic
releasing cathartic
supercharged charged
low-down funky
lyrical lyric
temperamental moody
sloppy overemotional
stolid impassive
philosophic philosophical
phlegmatical phlegmatic
stoical stoic
empiric empirical
verifiable confirmable
falsifiable confirmable
existential experiential
data-based experimental
observational experimental
theoretic theoretical
divinatory conjectural
hypothetical conjectural
hypothetic conjectural
supposed conjectural
suppositional conjectural
suppositious conjectural
supposititious conjectural
speculative notional
free-lance freelance
self-employed freelance
on_the_job working
dismissed discharged
fired discharged
laid-off discharged
pink-slipped discharged
jobless idle
out_of_work idle
captivated beguiled
charmed beguiled
delighted beguiled
enthralled beguiled
entranced beguiled
ensorcelled bewitched
hypnotized fascinated
hypnotised fascinated
mesmerized fascinated
mesmerised fascinated
spellbound fascinated
spell-bound fascinated
transfixed fascinated
undeceived disabused
exhortatory exhortative
hortative exhortative
hortatory exhortative
inspiriting heartening
intimidating daunting
demoralising demoralizing
disheartening demoralizing
dispiriting demoralizing
heavy-laden burdened
loaded_down burdened
mired involved
unburdened burdenless
unmortgaged clear
loaded_down bowed_down
overburdened bowed_down
weighed_down bowed_down
oppressed laden
endogamic endogamous
exogamic exogamous
autogamic autogamous
self-fertilised self-fertilized
self-pollinated self-fertilized
endogamic endogamous
exogamic exogamous
energy-absorbing endoergic
energy-releasing exoergic
endothermal endothermic
heat-absorbing endothermic
exothermal exothermic
heat-releasing exothermic
endogenic endogenous
exogenic exogenous
brisk alert
lively alert
merry alert
rattling alert
snappy alert
spanking alert
zippy alert
tireless indefatigable
unflagging indefatigable
unwearying indefatigable
unenrgetic lethargic
foggy dazed
groggy dazed
logy dazed
stuporous dazed
lackadaisical dreamy
languid dreamy
languorous dreamy
disfranchised disenfranchised
voiceless disenfranchised
voteless disenfranchised
explorative exploratory
nonexplorative nonexploratory
unexploratory nonexploratory
unexplorative nonexploratory
investigative fact-finding
investigatory fact-finding
probing inquisitory
searching inquisitory
uninquisitive uninquiring
accumulated accrued
inflated hyperbolic
magnified exaggerated
enlarged exaggerated
elevated raised
reduced decreased
attenuated attenuate
faded attenuate
weakened attenuate
diminished belittled
small belittled
slashed cut
shrivelled shriveled
shrunken shriveled
dark benighted
gumptious energetic
industrious energetic
up-and-coming energetic
nonenterprising unenterprising
unenergetic slowgoing
warm ardent
zealous avid
wild crazy
dotty crazy
gaga crazy
evangelistic evangelical
half-hearted halfhearted
tepid halfhearted
lukewarm halfhearted
wishful desirous
hungry athirst
thirsty athirst
devouring avid
esurient avid
greedy avid
envious covetous
jealous covetous
undesiring undesirous
entozoan entozoic
endozoic entozoic
tantamount equivalent
tight close
fifty-fifty even
isochronous isochronal
isoclinic isoclinal
isometrical isometric
even tied
level tied
unsymmetrical anisometric
uneven mismatched
unequalised unequalized
counterpoised counterbalanced
proportionate harmonious
symmetrical harmonious
imbalanced unbalanced
isosmotic isotonic
ambiguous equivocal
forked double
univocal unequivocal
unambiguous unequivocal
erasable effaceable
extirpable exterminable
removable obliterable
unerasable indelible
inexpungeable inexpungible
inextirpable inexterminable
deep abstruse
recondite abstruse
kabbalistic cabalistic
qabalistic cabalistic
cryptic cabalistic
cryptical cabalistic
sibylline cabalistic
mystic mysterious
mystical mysterious
occult mysterious
secret mysterious
orphic mysterious
primary basal
constitutional constituent
constitutive constituent
organic constituent
substantive substantial
life-sustaining vital
unessential inessential
nonessential incidental
vital critical
low abject
low-down abject
miserable abject
scummy abject
scurvy abject
mean bastardly
pitiable pathetic
pitiful pathetic
eulogistic encomiastic
panegyric encomiastic
panegyrical encomiastic
praiseful laudatory
praising laudatory
deprecating belittling
deprecative belittling
deprecatory belittling
depreciative belittling
depreciatory belittling
slighting belittling
derogatory derogative
disparaging derogative
dislogistic dyslogistic
pejorative dyslogistic
sneering supercilious
snide supercilious
insinuating ingratiating
ingratiatory ingratiating
uncomplimentary unflattering
inoffensive euphemistic
offensive dysphemistic
distressed dysphoric
unhappy dysphoric
level flat
plane flat
flatbottomed flatbottom
straight true
crinkly crinkled
rippled crinkled
wavy crinkled
wavelike crinkled
cross-grained curly-grained
wavy-grained curly-grained
jaggy jagged
scraggy jagged
untrue out_of_true
uneven odd
cone-bearing coniferous
half-evergreen semi-evergreen
broad-leafed broadleaf
broad-leaved broadleaf
verbatim direct
strict rigorous
approximative approximate
rough approximate
loose free
liberal free
exchangeable convertible
redeemable cashable
unconvertible inconvertible
unexchangeable inconvertible
substitutable commutable
permutable transposable
warm quick
flighty skittish
spooky skittish
nervous skittish
nervous aflutter
drunk intoxicated
stirred stimulated
stirred_up stimulated
aroused stimulated
titillated teased
breathtaking breathless
exhilarating elating
galvanic electric
galvanizing electric
galvanising electric
thrilling electrifying
glamourous glamorous
intoxicating heady
tingling tickling
titillating tickling
humdrum commonplace
prosaic commonplace
unglamorous commonplace
unglamourous commonplace
exonerative absolvitory
forgiving absolvitory
justificatory justificative
vindicatory justificative
inculpative inculpatory
accusatory accusative
accusing accusative
accusive accusative
denunciative comminatory
denunciatory comminatory
condemning condemnatory
criminatory criminative
incriminating criminative
incriminatory criminative
damning damnatory
recriminatory recriminative
spent exhausted
left_over leftover
left leftover
odd leftover
remaining leftover
unexpended leftover
unexpended unspent
existing existent
alive active
absent lacking
missing lacking
wanting lacking
destitute barren
devoid barren
free barren
innocent barren
living surviving
nonextant extinct
awaited anticipated
hoped-for anticipated
unheralded unannounced
unpredicted unannounced
unforeseen unanticipated
unlooked-for unanticipated
out_of_the_blue unanticipated
unhoped-for unhoped
unthought unhoped
unthought-of unhoped
opportunistic opportunist
timeserving opportunist
carpetbagging carpetbag
high-ticket big-ticket
dear costly
high-priced costly
pricey costly
pricy costly
costly dearly-won
inexpensive cheap
cut-rate bargain-priced
cut-price bargain-priced
low-priced low-cost
affordable low-cost
threepenny sixpenny
twopenny sixpenny
tuppeny sixpenny
two-a-penny sixpenny
twopenny-halfpenny sixpenny
experient experienced
fully_fledged full-fledged
knowledgeable intimate
versed intimate
older old
practised practiced
veteran seasoned
inexperient inexperienced
unfledged fledgling
callow fledgling
new raw
uninitiated uninitiate
naive uninitiate
unpractised unpracticed
unversed unpracticed
untested unseasoned
untried unseasoned
young unseasoned
interpretable explainable
incomprehensible inexplicable
cryptical cryptic
deep cryptic
inscrutable cryptic
mysterious cryptic
mystifying cryptic
self-contradictory paradoxical
unexplainable unaccountable
expressed explicit
stated declared
unequivocal definitive
hardcore hard-core
inexplicit implicit
inherent implicit_in
underlying implicit_in
tacit silent
understood silent
unsaid unexpressed
unstated unexpressed
unuttered unexpressed
unverbalized unexpressed
unverbalised unexpressed
unvoiced unexpressed
unspoken unexpressed
undeveloped unexploited
utterable speakable
unexpressible inexpressible
indescribable indefinable
ineffable indefinable
unspeakable indefinable
untellable indefinable
unutterable indefinable
extensible extensile
protractible protractile
protrusible protrusile
inextensible nonextensile
nonprotractile nonextensile
fingerlike digitate
cavernous erectile
expandible expandable
expansible expandable
outmost outermost
innermost inmost
innermost inmost
interior inner
internal inner
private secret
sharp-eyed keen-eyed
round-eyed saucer-eyed
just fair
antitrust antimonopoly
sporting clean
sporty clean
sportsmanlike clean
unjust unfair
dirty cheating
foul cheating
unsporting cheating
unsportsmanlike cheating
just equitable
fair honest
unjust inequitable
loyal firm
truehearted firm
fast firm
perfidious punic
treacherous punic
cheating adulterous
two-timing adulterous
hardcore hard-core
traitorous faithless
unfaithful faithless
treasonable faithless
treasonous faithless
seditious insurgent
subversive insurgent
renegade recreant
error-prone erring
unreliable undependable
unfailing foolproof
inerrant inerrable
unerring inerrable
well-known long-familiar
unknown strange
unacquainted_with unacquainted
unfamiliar_with unacquainted
unusual strange
fantastic antic
fantastical antic
grotesque antic
funny curious
odd curious
peculiar curious
queer curious
rum curious
rummy curious
singular curious
eery eerie
usual common
stylish fashionable
a_la_mode latest
in_style latest
in_vogue latest
modish latest
dashing dapper
jaunty dapper
natty dapper
raffish dapper
rakish dapper
spiffy dapper
snappy dapper
spruce dapper
faddy faddish
swagger groovy
cutting-edge up-to-date
with-it up-to-date
modern mod
modernistic mod
quaint old-time
olde_worlde old-time
swanky swank
trend-setting trendsetting
voguish trendy
unstylish unfashionable
demode antique
ex antique
old-fashioned antique
old-hat antique
outmoded antique
passe antique
passee antique
frumpy dowdy
frumpish dowdy
moss-grown fogyish
mossy fogyish
stick-in-the-mud fogyish
stodgy fogyish
fashionable stylish
smart chic
voguish chic
posh classy
swish classy
unstylish styleless
hot blistering
red-hot blistering
swift fleet
high-velocity high-speed
scurrying hurrying
prompt immediate
quick immediate
straightaway immediate
instant instantaneous
speedy quick
speedy rapid
laggard dilatory
poky dilatory
pokey dilatory
long-playing long-play
sulky sluggish
choosey choosy
nice dainty
overnice dainty
prissy dainty
squeamish dainty
finicky finical
fussy finical
particular finical
picky finical
persnickety pernickety
old-womanish old-maidish
exacting fastidious
paunchy abdominous
potbellied abdominous
embonpoint chubby
plump chubby
zaftig buxom
zoftig buxom
obese corpulent
weighty corpulent
rotund corpulent
jowly double-chinned
loose-jowled double-chinned
podgy dumpy
pudgy dumpy
tubby dumpy
roly-poly dumpy
heavy fleshy
overweight fleshy
porcine gross
stout portly
lean thin
anorectic anorexic
cadaverous bony
emaciated bony
gaunt bony
haggard bony
pinched bony
skeletal bony
wasted bony
hollow-eyed deep-eyed
sunken-eyed deep-eyed
gangly gangling
lanky gangling
spindly lank
reedlike reedy
twiglike twiggy
boney scraggy
scrawny scraggy
skinny scraggy
underweight scraggy
weedy scraggy
shrivelled shriveled
shrunken shriveled
withered shriveled
wizen shriveled
wizened shriveled
slight slender
slim slender
svelte slender
slim-waisted slender-waisted
wasp-waisted slender-waisted
trim spare
spindle-shanked spindle-legged
wiry stringy
wispy wisplike
fat fatty
oily greasy
sebaceous greasy
oleaginous greasy
fat-free nonfat
fatless nonfat
lite light
low-cal light
calorie-free light
skimmed skim
deathly deadly
mortal deadly
lethal deadly
plumbable fathomable
soundable fathomable
favourable favorable
unfavourable unfavorable
contrary adverse
favourable favorable
affirmative approving
approbative approving
approbatory approving
plausive approving
unfavourable unfavorable
admonishing admonitory
reproachful admonitory
reproving admonitory
inauspicious adverse
untoward adverse
invidious discriminatory
feathery featherlike
vaned fledged
plumed plumate
plumose plumate
plumy plumed
plumy plumelike
featherless unfeathered
fledgeless unfledged
unvaned unfledged
gratulatory congratulatory
well-chosen happy
clumsy awkward
cumbersome awkward
inapt awkward
inept awkward
ill-chosen awkward
impregnable conceptive
unfertile sterile
infertile sterile
sterilised sterilized
unfertilised unfertilized
unimpregnated unfertilized
concluded complete
ended complete
over complete
all_over complete
terminated complete
through done
through_with done
through_with done_with
uncompleted incomplete
polished dressed
unsanded raw
rough-cut roughhewn
delimited bounded
unbounded boundless
limitless boundless
endless dateless
sempiternal dateless
unlimited inexhaustible
non-finite infinite
first beginning
initiative inaugural
initiatory inaugural
first inaugural
maiden inaugural
final concluding
last concluding
terminal concluding
archetypical archetypal
prototypal archetypal
prototypic archetypal
prototypical archetypal
introductory basic
eldest firstborn
first-year freshman
premiere premier
prime premier
fourth-year senior
gray grey
mediate in-between
middle in-between
third-year junior
next-to-last junior
next-to-last penultimate
second-year sophomore
fissile fissionable
able-bodied able
in_condition conditioned
impaired afflicted
apraxic apractic
bandy-legged bandy
bowed bandy
bowleg bandy
bowlegged bandy
halt crippled
halting crippled
lame crippled
gimpy crippled
game crippled
crookbacked crookback
humped crookback
humpbacked crookback
hunchbacked crookback
gibbous crookback
kyphotic crookback
handicapped disabled
flabby soft
flaccid soft
lordotic dipped
swayback dipped
swaybacked dipped
mutilated maimed
suited suitable
flexile flexible
pliable bendable
pliant bendable
waxy bendable
supple limber
spinnbar spinnable
stiff rigid
supple limber
on_the_table negotiable
adamantine adamant
inexorable adamant
intransigent adamant
rock-ribbed die-hard
fossilised fossilized
ossified fossilized
brassbound ironclad
sturdy uncompromising
inflexible uncompromising
hardline hard-line
conciliatory compromising
flexible compromising
flexible elastic
pliable elastic
pliant elastic
rigid inflexible
unbending inflexible
inverted anatropous
curling curled
frizzly crisp
frizzy crisp
kinky crisp
nappy crisp
fast-footed swift-footed
web-toed web-footed
apodous apodal
pointed-toe pointy-toed
squared-toe square-toed
two-toe two-toed
splayfoot splayfooted
forehanded forehand
backhanded backhand
inborn connatural
inbred connatural
adoptive adopted
strange foreign
exotic alien
naturalized established
nonnative foreign-born
unnaturalised unnaturalized
autochthonic autochthonal
autochthonous autochthonal
endemic autochthonal
indigenous autochthonal
aboriginal native
overseas abroad
international external
outside external
interior home
internal home
national home
persistent haunting
tolerant kind
vindictive revengeful
vengeful revengeful
conventional ceremonious
full-dress dress
dress full-dress
titular nominal
prescribed positive
perfunctory pro_forma
semi-formal semiformal
black-tie semiformal
stiff starchy
buckram starchy
everyday casual
daily casual
casual free-and-easy
unceremonial unceremonious
conversational colloquial
vernacular common
vulgar common
epistolatory epistolary
nonliterary unliterary
happy felicitous
well good
providential heaven-sent
miraculous heaven-sent
calamitous black
disastrous black
fatal black
fateful black
homeless dispossessed
roofless dispossessed
miserable hapless
misfortunate hapless
pathetic hapless
piteous hapless
pitiable hapless
pitiful hapless
poor hapless
wretched hapless
ill-fated doomed
ill-omened doomed
ill-starred doomed
unlucky doomed
unhappy infelicitous
too_bad regrettable
redolent aromatic
odorous odoriferous
perfumed odoriferous
scented odoriferous
sweet odoriferous
sweet-scented odoriferous
sweet-smelling odoriferous
scented perfumed
malodourous malodorous
unpleasant-smelling malodorous
ill-smelling malodorous
stinky malodorous
foetid fetid
foul fetid
foul-smelling fetid
funky fetid
noisome fetid
smelly fetid
stinking fetid
ill-scented fetid
musty fusty
frowsty fusty
gamy gamey
high gamey
mephitic miasmic
odorous odoriferous
rancid sour
musky-scented musk-scented
smelling redolent
strong-scented strong-smelling
tansy-smelling tansy-scented
odourless odorless
inodorous odorless
conjugated conjugate
conjugated conjugate
firm fast
immobile fast
free detached
unsteady unfirm
escaped at_large
loose at_large
on_the_loose at_large
independent autonomous
self-governing autonomous
sovereign autonomous
uncommitted available
atrip aweigh
liberated emancipated
unimprisoned unconfined
adscripted adscript
articled apprenticed
bound apprenticed
indentured apprenticed
cornered at_bay
trapped at_bay
treed at_bay
confined captive
imprisoned captive
jailed captive
nonsovereign nonautonomous
slaveless free-soil
non-slave free-soil
prevalent prevailing
predominant prevailing
dominant prevailing
rife prevailing
steady regular
undecomposed good
unspoiled good
unspoilt good
warm strong
spoiled bad
spoilt bad
maggoty flyblown
wilted limp
mouldy moldy
musty moldy
tainted corrupt
cured aged
crystalized candied
crystalised candied
glace candied
tinned canned
cured corned
dehydrated dried
desiccated dried
quick-frozen flash-frozen
frozen flash-frozen
lyophilised lyophilized
freeze-dried lyophilized
salt-cured salted
brine-cured salted
smoke-cured smoked
smoke-dried smoked
sundried sun-dried
sweet fresh
briny brackish
amiable affable
cordial affable
genial affable
matey chummy
pally chummy
palsy-walsy chummy
hail-fellow comradely
hail-fellow-well-met comradely
couthy couthie
intimate cozy
informal cozy
