dorsal abaxial
dyspneal breathless
dyspnoeal breathless
suffocating smothering
suffocative smothering
pursy blown
short-winded blown
winded blown
crystalised crystallized
uncrystallized amorphous
uncrystallised amorphous
inflamed ablaze
reddened ablaze
floodlighted floodlit
lighted illuminated
lit illuminated
well-lighted illuminated
candent incandescent
sunstruck sunlit
Acherontic acheronian
Stygian acheronian
pitch-black black
pitch-dark black
subdued dim
twilight dusky
twilit dusky
gloomy glooming
gloomful glooming
sulky glooming
unilluminated lightless
unlighted lightless
unlit lightless
tenebrific tenebrous
tenebrious tenebrous
mirky murky
shadowed shady
shadowy shady
umbrageous shady
crosshatched hatched
moony moonlit
gleaming agleam
nitid agleam
lambent aglow
lucent aglow
luminous aglow
coruscant aglitter
fulgid aglitter
glinting aglitter
glistering aglitter
glittering aglitter
glittery aglitter
scintillant aglitter
scintillating aglitter
sparkly aglitter
beadlike beady
buttony beady
buttonlike beady
beamy beaming
effulgent beaming
radiant beaming
refulgent beaming
blinding blazing
dazzling blazing
fulgent blazing
glaring blazing
glary blazing
glossy glistening
lustrous glistening
sheeny glistening
shiny glistening
shining glistening
nacreous iridescent
opalescent iridescent
opaline iridescent
pearlescent iridescent
sleek satiny
silken satiny
silky satiny
silklike satiny
slick satiny
silvern silver
silvery silver
mat flat
matt flat
matte flat
matted flat
lacklustre lackluster
lusterless lackluster
lustreless lackluster
subdued soft
dim dimmed
bright undimmed
discriminatory prejudiced
antiblack racist
anti-Semite racist
impartial unprejudiced
colour-blind color-blind
nonracist color-blind
large-minded broad
liberal broad
tolerant broad
latitudinarian free-thinking
undogmatic free-thinking
undogmatical free-thinking
narrow narrow-minded
closed-minded close-minded
dogmatical dogmatic
intolerant illiberal
opinionative opinionated
self-opinionated opinionated
small-minded petty
unkept broken
kept unbroken
dotted dashed
interrupted fitful
off-and-on fitful
brotherlike brotherly
fraternal brotherly
sisterlike sisterly
sororal sisterly
biovular fraternal
monovular identical
inhumed buried
interred buried
laboring drudging
labouring drudging
toiling drudging
occupied engaged
bone-lazy bone-idle
indolent faineant
lazy faineant
otiose faineant
slothful faineant
work-shy faineant
boney bony
deboned boned
fastened buttoned
botonnee botonee
unfastened unbuttoned
capitalist capitalistic
free-enterprise competitive
private-enterprise competitive
laissez-faire individualistic
socialist socialistic
collectivistic collectivist
collectivized collectivist
collectivised collectivist
state-controlled collectivist
cacophonic cacophonous
squawky cackly
guttural croaky
gravelly grating
rasping grating
raspy grating
rough grating
scratchy grating
hoarse gruff
husky gruff
jangly jangling
strident raucous
ripping rending
